periode_data,type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
202101,Puskesmas Cilincing,RS Wisma Atlet,1,8
202101,Puskesmas Tebet,RS Wisma Atlet,1,24
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,14
202101,Puskesmas Tanjung Priok,RS Wisma Atlet,1,10
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,9
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,5
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,10
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,7
202101,Puskesmas Ciracas Tahap I,RS Wisma Atlet,1,22
202101,Puskesmas Cilincing,RS Wisma Atlet,1,14
202101,Puskesmas Jagakarsa Tahap II,RS Wisma Atlet,1,10
202101,Puskesmas Tebet,RS Wisma Atlet,1,14
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,9
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,10
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan Tahap III,RS Wisma Atlet,1,9
202101,Puskesmas Duren Sawit Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,5
202101,Puskesmas Pancoran,RS Wisma Atlet,1,8
202101,Puskesmas Ciracas Tahap I,RS Wisma Atlet,1,22
202101,Puskesmas Duren Sawit Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,10
202101,Puskesmas Tebet,RS Wisma Atlet,1,19
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,10
202101,Puskesmas Tanjung Priok,RS Wisma Atlet,1,28
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,5
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Pancoran,RS Wisma Atlet,1,9
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,5
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,8
202101,Puskesmas Ciracas,RS Wisma Atlet,1,20
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,13
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,19
202101,Puskesmas Cilandak,RS Wisma Atlet,1,11
202101,Puskesmas Cilincing,RS Wisma Atlet,1,10
202101,Puskesmas Penjaringan,RS Wisma Atlet,1,14
202101,Puskesmas Pulogadung,RS Wisma Atlet,1,11
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,21
202101,Puskesmas Tanah Abang,RS Wisma Atlet,1,27
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,6
202101,Puskesmas Tebet,RS Wisma Atlet,1,20
202101,Puskesmas Kramat Jati,RS Wisma Atlet,1,9
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,12
202101,Puskesmas Sawah Besar,RS Wisma Atlet,1,8
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,6
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,8
202101,Puskesmas Penjaringan,RS Wisma Atlet,1,8
202101,Puskesmas Pancoran,RS Wisma Atlet,1,9
202101,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Duren Sawit Tahap I,RS Wisma Atlet,1,7
202101,Puskesmas Tebet Tahap I,RS Wisma Atlet,1,15
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Pancoran,RS Wisma Atlet,1,9
202101,Puskesmas Cilincing,RS Wisma Atlet,1,14
202101,RSUD CENGKARENG,JAKARTA,125,5203
202101,RSUD CENGKARENG,BOGOR,null,null
202101,RSUD CENGKARENG,DEPOK,30,692
202101,RSUD CENGKARENG,TANGERANG,70,1232
202101,RSUD CENGKARENG,BEKASI,24,233
202101,RSUD DUREN SAWIT,JAKARTA,95,4887
202101,RSUD DUREN SAWIT,BOGOR,null,null
202101,RSUD DUREN SAWIT,DEPOK,null,null
202101,RSUD DUREN SAWIT,TANGERANG,null,null
202101,RSUD DUREN SAWIT,BEKASI,null,null
202101,RSUD PASAR MINGGU,JAKARTA,null,null
202101,RSUD PASAR MINGGU,BOGOR,12,104
202101,RSUD PASAR MINGGU,DEPOK,21,278
202101,RSUD PASAR MINGGU,TANGERANG,null,null
202101,RSUD PASAR MINGGU,BEKASI,18,191
202101,RSUD TARAKAN,JAKARTA,null,null
202101,RSUD TARAKAN,BOGOR,31,1593
202101,RSUD TARAKAN,DEPOK,31,1272
